# chrom, start, end, targetname, loc/long ratio, total local, total long
# Interactions with regions between 1000 and 100000 bp are local
# Interactions with regions between 100000 and 1e+07 bp are long range
chrZ	42519459	42519777	probe1	0.778634	292373	375495
chrZ	42583564	42583930	probe10	0.738214	644003	872380
chrZ	42589942	42590253	probe11	0.705225	955733	1.35522e+06
chrZ	42595694	42596195	probe12	0.698673	1.31004e+06	1.87504e+06
chrZ	42601602	42601967	probe13	0.696597	1.56617e+06	2.24832e+06
chrZ	42607296	42607914	probe14	0.709291	1.85423e+06	2.6142e+06
chrZ	42614604	42615226	probe15	0.719433	2.22645e+06	3.09472e+06
chrZ	42617863	42618835	probe16	0.720437	2.49884e+06	3.46851e+06
chrZ	42623454	42623897	probe17	0.701495	2.76434e+06	3.94064e+06
chrZ	42626637	42627205	probe18	0.702453	3.12196e+06	4.44437e+06
chrZ	42632140	42632531	probe19	0.695617	3.43079e+06	4.932e+06
chrZ	42526103	42526440	probe2	0.705851	3.77573e+06	5.34918e+06
chrZ	42637498	42637924	probe20	0.696521	4.09066e+06	5.87299e+06
chrZ	42642898	42643379	probe21	0.706409	4.49069e+06	6.35707e+06
chrZ	42650335	42651415	probe22	0.721258	4.82483e+06	6.68948e+06
chrZ	42661676	42662659	probe23	0.718964	5.03109e+06	6.9977e+06
chrZ	42669099	42669800	probe24	0.712431	5.29617e+06	7.43394e+06
chrZ	42675303	42675565	probe25	0.713101	5.64484e+06	7.91591e+06
chrZ	42680173	42680713	probe26	0.711588	5.85893e+06	8.23359e+06
chrZ	42687801	42688390	probe27	0.725289	6.31464e+06	8.70638e+06
chrZ	42693998	42694259	probe28	0.71722	6.52484e+06	9.09741e+06
chrZ	42702189	42703142	probe29	0.723272	6.7272e+06	9.30106e+06
chrZ	42533824	42534941	probe3	0.72508	7.06278e+06	9.7407e+06
chrZ	42709406	42709663	probe30	0.719119	7.30449e+06	1.01576e+07
chrZ	42715165	42715892	probe31	0.722066	7.5749e+06	1.04906e+07
chrZ	42720267	42720538	probe32	0.725855	7.86589e+06	1.08367e+07
chrZ	42727541	42727892	probe33	0.726683	8.15359e+06	1.12203e+07
chrZ	42735293	42736661	probe34	0.744662	8.59071e+06	1.15364e+07
chrZ	42283321	42284572	probe36	0.792445	9.21654e+06	1.16305e+07
chrZ	43080097	43080460	probe37	0.776185	9.44443e+06	1.21678e+07
chrZ	42544501	42545646	probe4	0.776737	9.72616e+06	1.25218e+07
chrZ	42552013	42552256	probe5	0.778137	9.99587e+06	1.28459e+07
chrZ	42558173	42558483	probe6	0.770842	1.03148e+07	1.33812e+07
chrZ	42563458	42564099	probe7	0.771801	1.06635e+07	1.38164e+07
chrZ	42570116	42570525	probe8	0.777932	1.10664e+07	1.42254e+07
chrZ	42576173	42577407	probe9	0.766809	1.11816e+07	1.4582e+07
