# chrom, start, end, targetname, directionality
chrZ	42519459	42519777	probe1	0.407967
chrZ	42583564	42583930	probe10	0.543436
chrZ	42589942	42590253	probe11	0.551794
chrZ	42595694	42596195	probe12	0.504774
chrZ	42601602	42601967	probe13	0.554864
chrZ	42607296	42607914	probe14	0.572398
chrZ	42614604	42615226	probe15	0.143608
chrZ	42617863	42618835	probe16	-0.273511
chrZ	42623454	42623897	probe17	-0.260108
chrZ	42626637	42627205	probe18	-0.0119327
chrZ	42632140	42632531	probe19	0.0980828
chrZ	42526103	42526440	probe2	0.371216
chrZ	42637498	42637924	probe20	-0.397491
chrZ	42642898	42643379	probe21	-0.522171
chrZ	42650335	42651415	probe22	-0.634399
chrZ	42661676	42662659	probe23	-0.705659
chrZ	42669099	42669800	probe24	-0.391194
chrZ	42675303	42675565	probe25	-0.466528
chrZ	42680173	42680713	probe26	-0.447188
chrZ	42687801	42688390	probe27	-0.363217
chrZ	42693998	42694259	probe28	-0.459275
chrZ	42702189	42703142	probe29	-0.333594
chrZ	42533824	42534941	probe3	0.514451
chrZ	42709406	42709663	probe30	-0.364062
chrZ	42715165	42715892	probe31	-0.332064
chrZ	42720267	42720538	probe32	-0.359211
chrZ	42727541	42727892	probe33	-0.254864
chrZ	42735293	42736661	probe34	-0.135032
chrZ	42283321	42284572	probe36	-0.1479
chrZ	43080097	43080460	probe37	0.0796404
chrZ	42544501	42545646	probe4	0.512361
chrZ	42552013	42552256	probe5	0.589228
chrZ	42558173	42558483	probe6	0.625314
chrZ	42563458	42564099	probe7	0.739275
chrZ	42570116	42570525	probe8	0.514023
chrZ	42576173	42577407	probe9	0.586044
